a52dec 0.8.0-2
llvm-libs 15.0.7-3
lm_sensors 1:3.6.0.r41.g31d1f125-2
lsof 4.98.0-1
lua 5.4.6-1
lua51 5.1.5-9
lua51-lpeg 1.1.0-1
luajit 2.1.1692616192-1
lv2 1.18.10-1
lxappearance 0.6.3-4
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
mako 1.8.0-1
mbedtls 3.4.1-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mesa 1:23.1.6-1
meson 1.2.1-1
micro 2.0.11-4
minizip 1:1.3-1
mjpegtools 2.2.1-2
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mousepad 0.6.1-3
mpfr 4.2.1-1
mpg123 1.31.3-1
mpv 1:0.36.0-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mujs 1.3.3-1
ncurses 6.4_20230520-1
neofetch 7.1.0-2
neon 0.32.5-2
neovim 0.9.1-3
nettle 3.9.1-1
network-manager-applet 1.32.0-3
networkmanager 1.42.6-1
ninja 1.11.1-3
nm-connection-editor 1.32.0-3
node-gyp 9.4.0-1
nodejs 20.5.1-1
nodejs-nopt 7.2.0-1
noise-suppression-for-voice 1.03-1
noto-fonts-emoji-apple 2:16.4beta-0
noto-fonts-sc 2:20210430-2
noto-fonts-tc 2:20201206-1
npm 9.8.1-1
npth 1.6-4
nspr 4.35-1
nss 3.92-1
nvm 0.39.5-1
nwg-look-bin 0.2.4-1
obs-studio 29.1.3-1
ocl-icd 2.3.2-1
oniguruma 6.9.8-1
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.1.10-1
openjpeg2 2.5.0-2
openmpi 4.1.5-3
openpmix 4.2.5-1
openssh 9.4p1-2
openssl 3.1.2-1
opus 1.4-1
orc 0.4.34-1
otf-font-awesome 6.4.0-1
otf-font-awesome-4 4.7.0-5
p11-kit 0.25.0-1
pacman 6.0.2-7
pacman-mirrorlist 20230820-1
pam 1.5.3-3
pambase 20221020-1
pamixer 1.6-2
pango 1:1.50.14-1
pangomm 2.46.3-1
parted 3.6-1
paru-bin 1.11.2-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.38.0-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
pinentry 1.2.1-1
pipewire 1:0.3.78-1
pipewire-alsa 1:0.3.78-1
pipewire-audio 1:0.3.78-1
pipewire-jack 1:0.3.78-1
pipewire-pulse 1:0.3.78-1
pixman 0.42.2-1
pkgconf 1.8.1-1
playerctl 2.4.1-3
polkit 123-1
polkit-kde-agent 5.27.7-1
polkit-qt5 0.114.0-1
popt 1.19-1
portaudio 1:19.7.0-2
postgresql-libs 15.4-2
prettierd 0.24.2-1
procps-ng 4.0.3-1
psmisc 23.6-1
python 3.11.3-2
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
python-cairo 1.24.0-1
python-cffi 1.15.1-3
python-chardet 5.2.0-1
python-cryptography 41.0.3-1
python-docutils 1:0.20.1-1
python-fastjsonschema 2.18.0-1
python-gobject 3.44.1-4
python-httplib2 0.22.0-4
python-idna 3.4-3
python-inflect 7.0.0-1
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-mako 1.2.4-3
python-markdown 3.4.4-1
python-markupsafe 2.1.3-1
python-more-itertools 10.1.0-1
python-ordered-set 4.1.0-4
python-packaging 23.1-1
python-pip 23.2.1-1
python-platformdirs 3.10.0-1
python-ply 3.11-12
python-pycparser 2.21-5
python-pydantic 1.10.9-1
python-pyparsing 3.0.9-3
python-requests 2.28.2-4
python-setuptools 1:68.0.0-1
python-six 1.16.0-8
python-tomli 2.0.1-3
python-tqdm 4.66.1-1
python-trove-classifiers 2023.8.7-1
python-typing_extensions 4.7.1-1
python-urllib3 1.26.15-1
python-validate-pyproject 0.13-1
python-wheel 0.40.0-3
qca-qt5 2.3.7-1
qrencode 4.1.1-2
qt5-base 5.15.10+kde+r152-1
qt5-declarative 5.15.10+kde+r29-1
qt5-graphicaleffects 5.15.10-1
qt5-multimedia 5.15.10+kde+r3-1
qt5-quickcontrols2 5.15.10+kde+r6-1
qt5-speech 5.15.10+kde+r1-1
qt5-svg 5.15.10+kde+r8-1
qt5-tools 5.15.10+kde+r3-1
qt5-translations 5.15.10-1
qt5-wayland 5.15.10+kde+r57-1
qt5-x11extras 5.15.10-1
qt5ct 1.7-1
qt6-base 6.5.2-1
qt6-declarative 6.5.2-2
qt6-svg 6.5.2-1
qt6-translations 6.5.2-1
qt6-wayland 6.5.2-2
raptor 2.0.16-3
rav1e 0.6.6-1
re2 1:20230901-1
readline 8.2.001-2
rhash 1.4.3-1
ripgrep 13.0.0-3
rnnoise 0.4.1-1
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.3.0-1
runc 1.1.9-1
rust 1:1.72.0-1
sbc 2.0-1
scdoc 1.11.2-5
sddm-catppuccin-git r34.ffaad5c-1
sddm-git 0.20.0.10.ga8e40c5-1
sdl2 2.28.2-1
seatd 0.8.0-1
sed 4.9-3
semver 7.5.0-1
serd 0.30.16-1
shaderc 2023.4-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slack-desktop 4.33.90-1
slang 2.3.3-2
slurp 1.4.0-1
snappy 1.1.9-2
sndio 1.9.0-1
solid 5.109.0-1
sonnet 5.109.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
spdlog 1.11.0-3
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.43.0-1
sratom 0.6.14-1
srt 1.5.2-1
startup-notification 0.12-8
sudo 1.9.14.p3-1
svt-av1 1.6.0-1
svt-hevc 1.5.1-2
sway-audio-idle-inhibit-git 0.1.1.r41.c850bc4-1
swaybg 1.2.0-1
swayidle 1.8.0-1
swaylock-effects 1.6.4-1
swww 0.8.1-0
systemd 254.1-1
systemd-libs 254.1-1
systemd-sysvcompat 254.1-1
taglib 1.13.1-1
tar 1.35-1
tdb 1.4.9-1
texinfo 7.0.3-1
thunar 4.18.6-1
thunar-archive-plugin 0.5.1-1
thunar-volman 4.18.0-1
tpm2-tss 4.0.1-1
tracker3 3.5.3-2
tree-sitter 0.20.10-1
tslib 1.22-1
ttf-droid 20121017-10
ttf-fantasque-sans-mono 1.8.0-2
ttf-jetbrains-mono 2.304-1
ttf-jetbrains-mono-nerd 3.0.2-1
ttf-liberation 2.1.5-1
tumbler 4.18.1-1
twolame 0.4.0-3
tzdata 2023c-2
uchardet 0.0.8-1
udisks2 2.9.4-4
unibilium 2.1.1-1
unzip 6.0-19
upower 1.90.2-1
usbmuxd 1.1.1-3
util-linux 2.39.2-1
util-linux-libs 2.39.2-1
v4l-utils 1.24.1-2
vid.stab 1.1.1-1
viewnior 1.8-5
vim 9.0.1736-1
vim-runtime 9.0.1736-1
visual-studio-code-bin 1.81.1-1
vmaf 2.3.1-1
volume_key 0.3.12-8
vulkan-headers 1:1.3.262-1
vulkan-icd-loader 1.3.255-1
vulkan-validation-layers 1.3.250.0-2
wavpack 5.6.0-1
waybar 0.9.20-2
wayland 1.22.0-1
wayland-protocols 1.32-1
webrtc-audio-processing 0.3.1-4
wget 1.21.4-1
which 2.21-6
wildmidi 0.4.5-2
wireless_tools 30.pre9-3
wireplumber 0.4.14-1
wl-clipboard 1:2.2.0-1
wlogout 1.1.1-3
wofi 1.3-2
wpa_supplicant 2:2.10-8
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcur2png 0.7.1-7
xdg-desktop-portal 1.16.0-3
xdg-desktop-portal-hyprland 0.5.0-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+45+g301a1a4-1
xf86-input-libinput 1.4.0-1
xfconf 4.18.1-2
xkeyboard-config 2.39-1
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.8-2
xorg-server-common 21.1.8-2
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xset 1.2.5-1
xorg-xwayland 23.2.0-1
xorgproto 2023.2-1
xvidcore 1.3.7-2
xz 5.4.4-1
yarn 1.22.19-1
zbar 0.23.90-3
zeromq 4.3.4-4
zig 0.10.1-3
zimg 3.0.5-1
zlib 1:1.3-1
zram-generator 1.1.2-1
zsh 5.9-4
zstd 1.5.5-1
zvbi 0.2.41-1
zxing-cpp 2.1.0-1
